epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,17496.8,0.75029,0.96618,1.29266,0.87768,0.31796,0.61549,0.37538,0.32019,0.31796,0.61549,0.37538,0.21561,0.63528,0.73224,1.77635,0.79938,0.000255731,0.000255731,0.000255731
72,18032.3,0.73949,0.9369,1.28832,0.87959,0.33243,0.609,0.39463,0.33788,0.33243,0.609,0.39463,0.22962,0.63974,0.74021,1.7193,0.79926,0.000247484,0.000247484,0.000247484
73,18550.4,0.76903,1.0444,1.32662,0.87882,0.3387,0.62107,0.41511,0.35464,0.3387,0.62107,0.41511,0.24284,0.63407,0.73262,1.69863,0.79885,0.000239238,0.000239238,0.000239238
74,19064.7,0.74298,0.98791,1.28918,0.87049,0.34631,0.63704,0.42949,0.36752,0.34631,0.63704,0.42949,0.25709,0.62989,0.7324,1.70762,0.79855,0.000230991,0.000230991,0.000230991
75,19568.8,0.74107,0.95952,1.30289,0.87693,0.33093,0.6182,0.39718,0.33967,0.33093,0.6182,0.39718,0.23218,0.63076,0.72606,1.78012,0.79869,0.000222744,0.000222744,0.000222744
76,20074.2,0.74632,1.00232,1.29267,0.87808,0.32626,0.62772,0.39684,0.33801,0.32626,0.62772,0.39684,0.2271,0.63914,0.73412,1.793,0.79977,0.000214497,0.000214497,0.000214497
77,20589,0.75522,0.98301,1.32889,0.8809,0.34058,0.63495,0.40642,0.34754,0.34058,0.63495,0.40642,0.23616,0.62885,0.725,1.711,0.79875,0.000206251,0.000206251,0.000206251
78,21096.5,0.73607,0.97149,1.29024,0.87224,0.34035,0.63542,0.40763,0.35018,0.34035,0.63542,0.40763,0.23433,0.6344,0.73551,1.73514,0.79904,0.000198004,0.000198004,0.000198004
79,21605.8,0.75019,1.01655,1.28911,0.87987,0.33954,0.61021,0.39931,0.34185,0.33954,0.61021,0.39931,0.22869,0.62756,0.73734,1.73573,0.79882,0.000189757,0.000189757,0.000189757
80,22134.3,0.74995,0.9915,1.28292,0.8746,0.3427,0.61221,0.40295,0.3457,0.3427,0.61221,0.40295,0.23218,0.6282,0.72455,1.73122,0.79884,0.000181511,0.000181511,0.000181511
81,22654.2,0.75326,0.9814,1.29683,0.87707,0.33433,0.62686,0.40244,0.34184,0.33433,0.62686,0.40244,0.22873,0.63433,0.73229,1.79392,0.79935,0.000173264,0.000173264,0.000173264
82,23180.7,0.7288,0.93477,1.31353,0.87249,0.35011,0.62493,0.41562,0.3539,0.35011,0.62493,0.41562,0.23954,0.63377,0.73793,1.73308,0.79916,0.000165017,0.000165017,0.000165017
83,23701.2,0.74614,1.00786,1.28646,0.87248,0.3475,0.60005,0.40479,0.3469,0.3475,0.60005,0.40479,0.23312,0.6295,0.73054,1.71728,0.79844,0.000156771,0.000156771,0.000156771
84,24217.1,0.74973,0.98134,1.29992,0.88054,0.33807,0.6414,0.4106,0.35012,0.33807,0.6414,0.4106,0.23653,0.62899,0.73928,1.74432,0.79814,0.000148524,0.000148524,0.000148524
85,24730.4,0.74421,0.9924,1.27128,0.87076,0.35402,0.60553,0.40965,0.34916,0.35402,0.60553,0.40965,0.23432,0.62876,0.72299,1.75586,0.79853,0.000140277,0.000140277,0.000140277
86,25265.8,0.73932,0.95964,1.29727,0.87323,0.34342,0.63016,0.41069,0.35132,0.34342,0.63016,0.41069,0.2322,0.62918,0.73807,1.72732,0.79841,0.000132031,0.000132031,0.000132031
87,25783,0.74451,0.98332,1.28602,0.87601,0.34523,0.62724,0.407,0.34908,0.34523,0.62724,0.407,0.22938,0.6268,0.7334,1.75066,0.79812,0.000123784,0.000123784,0.000123784
88,26296.6,0.72529,0.94815,1.27599,0.86783,0.34474,0.62492,0.40004,0.34391,0.34474,0.62492,0.40004,0.22472,0.63458,0.7417,1.7639,0.79855,0.000115537,0.000115537,0.000115537
89,26805,0.7398,0.98933,1.29217,0.87033,0.34506,0.62153,0.40885,0.34866,0.34506,0.62153,0.40885,0.23471,0.63059,0.7365,1.74409,0.79856,0.00010729,0.00010729,0.00010729
90,27316,0.7377,0.97555,1.31199,0.87564,0.32362,0.62999,0.4032,0.34532,0.32362,0.62999,0.4032,0.22922,0.63033,0.73859,1.75437,0.79851,9.90437e-05,9.90437e-05,9.90437e-05
91,27821,0.75211,0.93842,1.30759,0.88932,0.35639,0.60526,0.39123,0.33184,0.35639,0.60526,0.39123,0.22253,0.63864,0.75857,1.79163,0.80092,9.0797e-05,9.0797e-05,9.0797e-05
92,28326.5,0.71598,0.91954,1.25439,0.87843,0.33265,0.59888,0.38137,0.32399,0.33265,0.59888,0.38137,0.2163,0.64175,0.75944,1.8254,0.80142,8.25503e-05,8.25503e-05,8.25503e-05
93,28840.8,0.71698,0.90176,1.21655,0.87454,0.32474,0.57585,0.37603,0.31952,0.32474,0.57585,0.37603,0.21495,0.64213,0.7537,1.85642,0.80177,7.43036e-05,7.43036e-05,7.43036e-05
94,29355.8,0.69433,0.8749,1.17952,0.87568,0.33658,0.58005,0.379,0.32337,0.33658,0.58005,0.379,0.21666,0.63913,0.75474,1.85396,0.80115,6.60569e-05,6.60569e-05,6.60569e-05
95,29870.3,0.7059,0.88731,1.21834,0.8752,0.34181,0.58184,0.3856,0.33004,0.34181,0.58184,0.3856,0.21935,0.63575,0.75145,1.84169,0.80046,5.78102e-05,5.78102e-05,5.78102e-05
96,30377.7,0.69636,0.90052,1.16904,0.87362,0.32748,0.59616,0.38735,0.33362,0.32748,0.59616,0.38735,0.21976,0.63442,0.74678,1.83419,0.80066,4.95635e-05,4.95635e-05,4.95635e-05
97,30884.2,0.70702,0.87192,1.22362,0.87743,0.32951,0.60421,0.38939,0.3347,0.32951,0.60421,0.38939,0.22043,0.63551,0.75173,1.83036,0.80067,4.13168e-05,4.13168e-05,4.13168e-05
98,31394.9,0.70144,0.87277,1.21953,0.8778,0.33389,0.6097,0.38885,0.33401,0.33389,0.6097,0.38885,0.22102,0.63602,0.75272,1.83443,0.80075,3.30701e-05,3.30701e-05,3.30701e-05
99,31899.5,0.69037,0.87505,1.19979,0.86864,0.32499,0.61108,0.3916,0.33561,0.32499,0.61108,0.3916,0.22253,0.6349,0.7537,1.82565,0.8006,2.48234e-05,2.48234e-05,2.48234e-05
100,32417.7,0.693,0.8578,1.18245,0.87722,0.34306,0.61168,0.39217,0.33798,0.34306,0.61168,0.39217,0.22265,0.63448,0.7539,1.81719,0.80057,1.65767e-05,1.65767e-05,1.65767e-05
